Time,Ask,Bid,AskVolume,BidVolume 
2015.01.02 04:30:50.810,1.20583,1.20576,3.37,4.16
2015.01.02 04:30:50.911,1.20583,1.20579,3.37,1
2015.01.02 04:31:03.213,1.20584,1.20579,1.31,1
2015.01.02 04:31:30.001,1.20583,1.20579,1,1
2015.01.02 04:31:49.027,1.20584,1.20579,3.23,1
2015.01.02 04:31:50.919,1.20584,1.20578,4.36,1
2015.01.02 04:31:51.739,1.20583,1.20578,1,1
2015.01.02 04:31:55.178,1.20584,1.20578,2.48,1
2015.01.02 04:32:01.084,1.20584,1.20577,3.23,1.06
2015.01.02 04:32:19.022,1.20584,1.20582,1.06,1.27
2015.01.02 04:32:19.326,1.20588,1.20585,1.52,1.87
2015.01.02 04:32:19.428,1.20588,1.20585,1.06,1.87
2015.01.02 04:32:23.127,1.20588,1.20585,3.64,1
2015.01.02 04:32:23.178,1.20585,1.20584,4.12,1
2015.01.02 04:32:23.279,1.20585,1.20581,7.5,1.28
2015.01.02 04:32:23.431,1.20584,1.20579,1,1.16
2015.01.02 04:32:23.754,1.20582,1.20579,1,1.06
2015.01.02 04:32:53.445,1.20581,1.20579,1,1
2015.01.02 04:33:03.024,1.20581,1.20577,1,2.29
2015.01.02 04:33:03.478,1.2058,1.20577,1,1.06
2015.01.02 04:33:19.269,1.20578,1.20576,3.37,1
2015.01.02 04:33:19.320,1.20575,1.20573,2.62,3.6
2015.01.02 04:33:19.472,1.20575,1.20572,1,1.06
2015.01.02 04:33:19.978,1.20576,1.20571,1.5,1.28
2015.01.02 04:33:20.489,1.20576,1.2057,2.25,1.35
2015.01.02 04:33:25.809,1.20575,1.2057,1,1.72
2015.01.02 04:33:26.365,1.20572,1.20569,1,2.14
2015.01.02 04:33:26.415,1.20572,1.20569,1,1.73
2015.01.02 04:33:26.921,1.20571,1.20567,1,1.52
2015.01.02 04:33:27.439,1.20571,1.20567,1,1.28
2015.01.02 04:33:29.894,1.20572,1.20567,1,1.28
2015.01.02 04:33:47.173,1.20572,1.20566,1,3.22
2015.01.02 04:33:53.745,1.20571,1.20567,1,1.06
2015.01.02 04:33:58.723,1.20571,1.20566,1,2.25
2015.01.02 04:34:02.892,1.20572,1.20566,1.25,1.5
2015.01.02 04:34:07.169,1.20573,1.20566,1.54,1.5
2015.01.02 04:34:07.991,1.20573,1.20565,1.54,3.42
2015.01.02 04:34:09.718,1.20572,1.20566,1,1
2015.01.02 04:34:11.451,1.20573,1.20566,1.73,1
2015.01.02 04:34:11.957,1.20573,1.20567,1.73,1
2015.01.02 04:34:13.705,1.20573,1.20566,1.73,1
2015.01.02 04:34:16.050,1.20573,1.20566,1.73,1
2015.01.02 04:34:17.978,1.20573,1.20566,1.73,1
2015.01.02 04:34:24.733,1.20573,1.20567,1.73,1
2015.01.02 04:34:24.884,1.2057,1.20567,1,1
2015.01.02 04:34:25.453,1.2057,1.20566,1,1.5
2015.01.02 04:34:25.784,1.20565,1.20563,3.19,2.62
2015.01.02 04:34:25.839,1.20565,1.2056,13.36,2.62
2015.01.02 04:34:27.156,1.20564,1.20559,1.69,1.54
2015.01.02 04:34:27.207,1.20561,1.20558,1,1.72
2015.01.02 04:34:27.259,1.2056,1.20557,1,2.29
2015.01.02 04:34:27.412,1.20559,1.20555,2.25,1.57
2015.01.02 04:34:27.463,1.20559,1.20554,3.52,1.12
2015.01.02 04:34:27.716,1.20556,1.20552,1.27,1.12
2015.01.02 04:34:28.272,1.20555,1.20552,1,1
2015.01.02 04:34:28.791,1.20555,1.2055,1,1.31
2015.01.02 04:34:29.374,1.20555,1.2055,1,1.31
2015.01.02 04:34:32.241,1.20554,1.2055,1,1.31
2015.01.02 04:34:36.734,1.20555,1.2055,1,2.44
2015.01.02 04:34:37.250,1.20555,1.20551,1,1
2015.01.02 04:34:45.899,1.20556,1.20551,1.27,1.25
2015.01.02 04:34:51.141,1.20555,1.20551,1,1.12
2015.01.02 04:34:56.773,1.20556,1.20551,1.27,1.31
2015.01.02 04:34:56.925,1.20557,1.20554,1.52,1
2015.01.02 04:34:57.127,1.2056,1.20554,1.87,1.5
2015.01.02 04:34:57.178,1.2056,1.20556,1.28,1
2015.01.02 04:34:57.694,1.20561,1.20556,1.16,1
2015.01.02 04:35:00.515,1.20559,1.20556,1,1
2015.01.02 04:35:01.071,1.2056,1.20556,1.06,1.5
2015.01.02 04:35:01.605,1.20559,1.20555,1,1.87
2015.01.02 04:35:08.335,1.20559,1.20556,1,1
2015.01.02 04:35:08.840,1.2056,1.20556,1.06,1
2015.01.02 04:35:09.701,1.2056,1.20555,1.06,1.87
2015.01.02 04:35:10.211,1.20559,1.20555,1,1.5
2015.01.02 04:35:11.243,1.20559,1.20556,1,1
